trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,abc_model_name,mse,mae,auc,ndcg_20,precision_20,recall_20,f1_20,ndcg,precision,recall,f1,training_time
0,2025-08-01 20:41:04,4096,9.862905520327372,1,100,15,16,64,0.005,0.005,0.01,0.005,1e-05,0.001,0.0005,5e-05,logistic_regression,0.2113300546362426,0.31789913279405124,0.5905741140067027,0.43726950058254055,0.06750531537916371,0.3207780434912477,0.1115382490539071,0.43726950058254055,0.06750531537916371,0.3207780434912477,0.1115382490539071,53.94301676750183
1,2025-08-01 20:41:46,4096,6.185637936995239,1,0.01,10,512,32,0.005,0.005,0.05,0.05,0.0005,0.0005,0.0005,5e-05,mlp,0.24999954773889613,0.4999969001167032,0.5022062526914104,0.29507350627138634,0.0560595322466336,0.2463379284531169,0.09133402781710476,0.29507350627138634,0.0560595322466336,0.2463379284531169,0.09133402781710476,41.79843044281006
2,2025-08-01 20:42:42,4096,6.012048654579255,16,10,35,16,512,0.01,0.005,0.01,0.05,0.005,0.0001,5e-06,0.0001,mlp,0.24999994382169022,0.49999994307777545,0.49794012091713075,0.2716944546618694,0.04893692416725726,0.19838419762855403,0.0785077502870614,0.2716944546618694,0.04893692416725726,0.19838419762855403,0.0785077502870614,56.35603141784668
3,2025-08-01 20:43:31,4096,1.0022789549073627,8,0.05,30,128,512,0.005,0.05,0.05,0.005,1e-05,1e-06,0.0005,0.0005,logistic_regression,0.15904995447708262,0.30525296166204263,0.6777093553383323,0.4247032430767921,0.06750531537916371,0.34968417260264206,0.11316459802876308,0.4247032430767921,0.06750531537916371,0.34968417260264206,0.11316459802876308,49.09384799003601
4,2025-08-01 20:44:49,4096,9.797103304187152,2,5,5,128,128,0.005,0.005,0.05,0.005,5e-06,5e-05,1e-05,0.0005,logistic_regression,0.24913198612005533,0.3902014650638419,0.5531519931632631,0.40599343445408714,0.07009213323883771,0.3147145488023296,0.11464984947685326,0.40599343445408714,0.07009213323883771,0.3147145488023296,0.11464984947685326,77.9210216999054
5,2025-08-01 20:45:38,4096,8.592331351442267,14,5,50,512,64,0.01,0.05,0.01,0.01,0.001,0.0001,0.0005,5e-05,logistic_regression,0.25000001745180817,0.500000017387763,0.502058959955133,0.2870798594909684,0.051807228915662654,0.22235518063864582,0.08403490298073078,0.2870798594909684,0.051807228915662654,0.22235518063864582,0.08403490298073078,48.532156229019165
6,2025-08-01 20:46:25,4096,5.361909420623126,6,10,5,64,512,0.005,0.005,0.01,0.01,1e-05,1e-06,0.0005,0.001,mlp,0.2750717906840973,0.4935774326611113,0.5001531884722358,0.314293154906714,0.05489014883061659,0.23648408232166032,0.0890994816073754,0.314293154906714,0.05489014883061659,0.23648408232166032,0.0890994816073754,46.96105766296387
7,2025-08-01 20:47:11,4096,0.21711445410829083,2,0.1,20,32,128,0.01,0.05,0.005,0.05,0.005,0.0005,0.0005,1e-06,logistic_regression,0.2500001580345399,0.500000156882776,0.496795854119713,0.2782987797973072,0.05191353649893692,0.21308579176261674,0.08348728353873616,0.2782987797973072,0.05191353649893692,0.21308579176261674,0.08348728353873616,46.09215235710144
8,2025-08-01 20:48:12,4096,4.9888244053997735,20,5,5,16,32,0.005,0.005,0.01,0.005,0.001,5e-06,1e-05,1e-05,logistic_regression,0.2499994420443319,0.49999930849313545,0.5038692451391446,0.27568521413305525,0.051063075832742735,0.2138222058029202,0.08243885384810927,0.27568521413305525,0.051063075832742735,0.2138222058029202,0.08243885384810927,61.419909954071045
9,2025-08-01 20:48:58,4096,7.356025287134147,4,0.01,10,256,512,0.005,0.005,0.05,0.05,5e-05,0.001,0.0005,0.0001,logistic_regression,0.24886299468005904,0.4983530980702765,0.5182849312769353,0.3165882005549508,0.05747696669029058,0.2635943666097628,0.09437531824255865,0.3165882005549508,0.05747696669029058,0.2635943666097628,0.09437531824255865,45.91689610481262
10,2025-08-01 20:50:04,4096,0.37818416103299146,8,0.05,30,128,16,0.05,0.01,0.005,0.005,1e-06,1e-06,0.0001,0.0005,mlp,0.2655273162993725,0.44233999358845366,0.5614231400329808,0.31741879090921676,0.05846917080085046,0.26826890159468997,0.09601244270614459,0.31741879090921676,0.05846917080085046,0.26826890159468997,0.09601244270614459,66.0076105594635
11,2025-08-01 20:50:42,4096,2.7434275096949214,8,100,15,128,256,0.05,0.05,0.05,0.005,1e-05,0.005,0.001,5e-06,logistic_regression,0.23887861992181927,0.48854532488906266,0.646118281515405,0.42071538890062643,0.0557760453579022,0.2721677354858338,0.09257952640759984,0.42071538890062643,0.0557760453579022,0.2721677354858338,0.09257952640759984,37.623812198638916
12,2025-08-01 20:51:37,4096,2.4368296354354895,18,0.05,30,128,64,0.005,0.05,0.05,0.005,0.0001,1e-05,1e-06,0.005,logistic_regression,0.25000445535744237,0.5000029821084824,0.4923440957105011,0.2723401332495889,0.05081502480510277,0.20976781515799123,0.08181165522699198,0.2723401332495889,0.05081502480510277,0.20976781515799123,0.08181165522699198,55.293983936309814
13,2025-08-01 20:52:24,4096,3.0864387149619352,12,50,40,64,512,0.05,0.01,0.05,0.005,1e-05,1e-06,5e-05,0.0005,logistic_regression,0.24911752498925285,0.49832077896869936,0.5113378409525631,0.2783596199015778,0.050318922749822824,0.20671496648428372,0.08093621009081055,0.2783596199015778,0.050318922749822824,0.20671496648428372,0.08093621009081055,47.02393960952759
14,2025-08-01 20:53:15,4096,1.6758609758752199,10,1,45,256,256,0.005,0.05,0.005,0.01,1e-05,0.001,0.005,0.0005,logistic_regression,0.24803337107626897,0.49684260818750486,0.5240266355195881,0.3263903602207156,0.05822111977321049,0.256998522081673,0.09493533872196648,0.3263903602207156,0.05822111977321049,0.256998522081673,0.09493533872196648,50.511290073394775
15,2025-08-01 20:53:57,4096,4.072352699019125,8,0.05,25,32,16,0.005,0.05,0.05,0.005,5e-05,1e-06,5e-05,0.001,logistic_regression,0.25000454745837014,0.5000001850511149,0.505600700601129,0.30056247741470626,0.056236711552090715,0.2474977542665058,0.0916488669072441,0.30056247741470626,0.056236711552090715,0.2474977542665058,0.0916488669072441,41.88254952430725
