trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,abc_model_name,mse,mae,auc,ndcg_5,precision_5,recall_5,f1_5,ndcg,precision,recall,f1,training_time
0,2025-08-01 11:03:27,128,0.049451073154463954,1,0.01,20,64,32,0.005,0.005,0.005,0.01,0.0001,1e-06,0.001,0.005,logistic_regression,0.37550266415673966,0.44880612531700936,0.5606876768795374,0.4590500123739093,0.2158620689655172,0.30308898955450675,0.25214484214556965,0.4590500123739093,0.2158620689655172,0.30308898955450675,0.25214484214556965,27.69828701019287
1,2025-08-01 11:03:51,128,0.045939891935728616,12,5,10,16,32,0.005,0.01,0.01,0.005,1e-05,0.0001,0.0005,0.005,logistic_regression,0.23125582877186,0.39045548076803305,0.6396230158730158,0.5449075672910864,0.2517241379310345,0.37022914824638964,0.29968685832356146,0.5449075672910864,0.2517241379310345,0.37022914824638964,0.29968685832356146,23.473183155059814
2,2025-08-01 11:04:46,128,0.018894887728563944,2,0.5,15,16,32,0.005,0.005,0.01,0.005,1e-05,0.001,0.005,1e-06,logistic_regression,0.23839387601278397,0.3420098155077761,0.6543306263073705,0.5644521150098633,0.2482758620689655,0.38521086193499987,0.30194337213811184,0.5644521150098633,0.2482758620689655,0.38521086193499987,0.30194337213811184,54.81672239303589
3,2025-08-01 11:05:39,128,0.019172912616812483,1,5,5,16,32,0.005,0.005,0.01,0.005,5e-05,1e-06,5e-05,0.001,logistic_regression,0.3769280853635186,0.4438753436031753,0.5716914298018949,0.5010767124309848,0.22413793103448276,0.3494628742904605,0.27310939904435744,0.5010767124309848,0.22413793103448276,0.3494628742904605,0.27310939904435744,52.90705132484436
4,2025-08-01 11:06:17,128,0.015706465045506476,6,0.1,5,64,32,0.005,0.005,0.005,0.01,0.005,1e-06,5e-05,1e-05,logistic_regression,0.24985297087380365,0.4998322073177531,0.517542604897256,0.44624676297750093,0.20275862068965517,0.28210728926246165,0.23594022051582497,0.44624676297750093,0.20275862068965517,0.28210728926246165,0.23594022051582497,38.091691732406616
5,2025-08-01 11:06:56,128,0.018822669005826805,10,0.5,5,32,64,0.01,0.01,0.01,0.005,1e-05,1e-05,5e-05,5e-05,logistic_regression,0.4040508488175077,0.4635816117921497,0.5341748185062138,0.45116491102321826,0.21310344827586206,0.3054678654678654,0.2510599940390808,0.45116491102321826,0.21310344827586206,0.3054678654678654,0.2510599940390808,39.35032844543457
6,2025-08-01 11:07:46,128,0.04690508397014167,2,0.01,10,32,64,0.005,0.005,0.005,0.01,0.0001,0.0005,5e-05,1e-05,mlp,0.37075391777024996,0.45295625441880916,0.5702874677002584,0.4691777437610339,0.2206896551724138,0.32205994197373505,0.26190824613322516,0.4691777437610339,0.2206896551724138,0.32205994197373505,0.26190824613322516,49.651402711868286
7,2025-08-01 11:08:21,128,0.022704187984144773,1,1,15,64,32,0.005,0.005,0.005,0.005,0.005,5e-06,0.0001,0.001,logistic_regression,0.22388036316992188,0.457241502629015,0.6279801894918174,0.5175073594138332,0.24206896551724139,0.3701947764878799,0.292725701152357,0.5175073594138332,0.24206896551724139,0.3701947764878799,0.292725701152357,35.373539209365845
8,2025-08-01 11:09:06,128,0.04018433899727099,4,50,10,32,16,0.01,0.005,0.01,0.005,0.0001,1e-05,0.005,1e-06,logistic_regression,0.30062270680415126,0.408691910582153,0.5918077088716623,0.4887042464977044,0.22275862068965516,0.3367422711388229,0.2681398544393455,0.4887042464977044,0.22275862068965516,0.3367422711388229,0.2681398544393455,45.04446339607239
9,2025-08-01 11:09:28,128,0.01519313728558367,6,100,10,16,64,0.01,0.005,0.005,0.01,0.005,0.005,0.0005,0.005,mlp,0.24999744490290293,0.49999743994839235,0.5614733296419343,0.4519809750697779,0.1993103448275862,0.2752236365167399,0.2311948988076808,0.4519809750697779,0.1993103448275862,0.2752236365167399,0.2311948988076808,21.795926332473755
