trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,abc_model_name,mse,mae,auc,train_mse,train_mae,train_auc,ndcg_20,precision_20,recall_20,f1_20,ndcg,precision,recall,f1,training_time
0,2025-08-02 06:51:59,4096,0.0987649145975439,1,0.01,40,32,32,0.01,0.01,0.01,0.005,0.01,0.005,0.0005,0.001,mlp,0.24999995543915576,0.499999954587422,0.5010841549142828,0.24999842694212754,0.49999842556048263,0.662888164102859,0.30059997255657056,0.05807937632884478,0.25962527497849525,0.09492384822133991,0.30059997255657056,0.05807937632884478,0.25962527497849525,0.09492384822133991,43.387715339660645
0,2025-08-02 06:53:19,4096,0.0987649145975439,1,0.01,40,32,32,0.01,0.01,0.01,0.005,0.01,0.005,0.0005,0.001,mlp,0.24999995543915576,0.499999954587422,0.5010841549142828,0.24999842694212754,0.49999842556048263,0.662888164102859,0.30059997255657056,0.05807937632884478,0.25962527497849525,0.09492384822133991,0.30059997255657056,0.05807937632884478,0.25962527497849525,0.09492384822133991,43.1760413646698
1,2025-08-02 06:53:56,4096,0.09424289843847637,1,1,15,32,32,0.01,0.005,0.01,0.01,0.01,0.01,0.01,0.0005,logistic_regression,0.2499999625102221,0.4999999610342899,0.49507016895249634,0.24999835539574605,0.499998352596784,0.6633471924866948,0.2931310163542989,0.055527994330262224,0.2415460489964743,0.0902978091857165,0.2931310163542989,0.055527994330262224,0.2415460489964743,0.0902978091857165,37.419225454330444
2,2025-08-02 06:54:46,4096,0.059756120368302225,2,0.5,25,16,16,0.01,0.005,0.005,0.01,0.01,0.005,0.0001,0.0005,mlp,0.25000000000152683,0.5000000000015269,0.5000727125281642,0.24999999998074124,0.49999999998074124,0.500359019588959,0.2870620715857522,0.0495747696669029,0.1935483032920432,0.0789321427896162,0.2870620715857522,0.0495747696669029,0.1935483032920432,0.0789321427896162,49.83754277229309
3,2025-08-02 06:55:40,4096,0.09917090754373466,1,100,20,32,16,0.005,0.01,0.01,0.005,0.001,0.0001,0.01,0.0005,mlp,0.1945582205056622,0.43682782802149545,0.6775324817109222,0.19771966391805662,0.4361307544973098,0.7596180449353358,0.4185651708278791,0.05265768958185685,0.2691164581860827,0.08808073000787825,0.4185651708278791,0.05265768958185685,0.2691164581860827,0.08808073000787825,54.079516649246216
4,2025-08-02 06:56:22,4096,0.08446305706533588,6,1,5,32,16,0.005,0.005,0.01,0.01,0.005,0.01,0.01,0.001,mlp,0.25001430527257856,0.5000075099373831,0.5011884313884509,0.24998794555769427,0.49998132774660875,0.5893785690786241,0.2809362446535477,0.049929128277817154,0.2122872418853332,0.08084405199600568,0.2809362446535477,0.049929128277817154,0.2122872418853332,0.08084405199600568,41.31429672241211
5,2025-08-02 06:57:15,4096,0.044340891993769414,1,100,5,32,32,0.01,0.005,0.01,0.005,0.01,0.0005,0.0001,0.001,mlp,0.25,0.5,0.5,0.25,0.5,0.5,0.2870707582917691,0.04953933380581148,0.19350661404370034,0.07888375701436286,0.2870707582917691,0.04953933380581148,0.19350661404370034,0.07888375701436286,53.10180640220642
6,2025-08-02 06:58:00,4096,0.04663586737696899,1,10,15,32,32,0.01,0.01,0.01,0.01,0.01,0.0001,0.005,0.01,logistic_regression,0.2499999998839769,0.49999999988395943,0.5015928808884542,0.24999998751389071,0.4999999875138119,0.5344148256142145,0.28632835236523907,0.04982282069454288,0.19632643360368351,0.07947646826656164,0.28632835236523907,0.04982282069454288,0.19632643360368351,0.07947646826656164,45.498170614242554
7,2025-08-02 06:58:44,4096,0.09496326325789889,12,5,40,16,32,0.005,0.005,0.01,0.01,0.001,0.0005,0.0005,0.01,mlp,0.25000755617554216,0.49999305132615895,0.49711972856161735,0.24989238866549612,0.49987884651093983,0.6272057206629305,0.27509216156653393,0.05124025513819987,0.20146562032109444,0.08170090836286416,0.27509216156653393,0.05124025513819987,0.20146562032109444,0.08170090836286416,43.73290681838989
0,2025-08-02 07:00:01,4096,0.0987649145975439,1,0.01,40,32,32,0.01,0.01,0.01,0.005,0.001,0.0001,0.005,0.001,mlp,0.19436224333681248,0.4365555075333495,0.6781632418310157,0.19761551764128157,0.43595541356069983,0.7595952692387445,0.4238923176626311,0.052232459248759744,0.2689430633262127,0.08747589157977552,0.4238923176626311,0.052232459248759744,0.2689430633262127,0.08747589157977552,47.88505148887634
