trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,abc_model_name,mse,mae,auc,ndcg_50,precision_50,recall_50,f1_50,ndcg_100,precision_100,recall_100,f1_100,ndcg,precision,recall,f1,training_time
0,2025-07-28 23:02:16,4096,0.049451073154463954,1,0.01,20,64,32,0.005,0.005,0.005,0.01,0.008673275959550203,0.005628401799226312,0.010116961109173598,0.017861482756949088,logistic_regression,0.24999698092047667,0.4999941513604585,0.509873782241708,0.49724999678693294,0.3320481927710843,0.5969235174329557,0.4267242436104699,0.7047472748034732,0.2775549255846917,1.0,0.43450957767262277,0.49724999678693294,0.3320481927710843,0.5969235174329557,0.4267242436104699,967.0296840667725
1,2025-07-28 23:11:14,4096,0.04325870839085713,2,100,5,16,32,0.01,0.005,0.005,0.01,0.07205386919962366,0.028094482481022184,0.00017123270109732386,0.013547831585171009,logistic_regression,0.25000004104832957,0.5000000406381193,0.4993702565503232,0.49182868976374716,0.3376754075124026,0.6096778881837074,0.4346282010714068,0.6933863986345603,0.2775549255846917,1.0,0.43450957767262277,0.49182868976374716,0.3376754075124026,0.6096778881837074,0.4346282010714068,537.6724438667297
2,2025-07-28 23:25:48,4096,0.04977834798729548,8,0.01,15,64,16,0.01,0.005,0.005,0.01,0.006715150099350913,0.0022763719235941327,0.0007762088385605204,0.06309892072878276,logistic_regression,0.24999992910762522,0.4999999278405801,0.5019408293001879,0.5033658004894354,0.33802976612331675,0.6098307452350756,0.4349605067758273,0.7042322400459268,0.2775549255846917,1.0,0.43450957767262277,0.5033658004894354,0.33802976612331675,0.6098307452350756,0.4349605067758273,874.3908627033234
3,2025-07-28 23:37:24,4096,0.01552853383324631,2,1,5,16,64,0.005,0.01,0.005,0.01,0.00017869146623649646,0.018573311877410036,0.014088896037371918,0.044858040209441556,mlp,0.25721830379740435,0.4371142957911159,0.7903406004446769,0.785022564154,0.46398299078667615,0.8472492302297339,0.5996027636950225,0.8666448169886082,0.2775549255846917,1.0,0.43450957767262277,0.785022564154,0.46398299078667615,0.8472492302297339,0.5996027636950225,695.5486619472504
4,2025-07-28 23:53:35,4096,0.01785217189916351,12,0.01,10,64,16,0.005,0.005,0.01,0.005,0.001965282863866633,0.00025626185240764987,0.00018156231434604544,0.027031886178287397,mlp,0.2500010633544445,0.5000001514504997,0.5108822561096722,0.49554245291820886,0.3340751240255138,0.6014647830269453,0.4295582058488038,0.7008357319245637,0.2775549255846917,1.0,0.43450957767262277,0.49554245291820886,0.3340751240255138,0.6014647830269453,0.4295582058488038,971.293478012085
5,2025-07-29 00:10:28,4096,0.04740496291515363,4,50,5,64,64,0.005,0.005,0.005,0.01,0.04212910990615707,0.03366020290962052,0.00015974611595825127,0.031088441525876614,mlp,0.24999922117129456,0.4999989892617165,0.5005364664193502,0.48545723205437613,0.33036144578313253,0.5940101147878163,0.4245869273820991,0.694799269114868,0.2775549255846917,1.0,0.43450957767262277,0.48545723205437613,0.33036144578313253,0.5940101147878163,0.4245869273820991,1012.774521112442
6,2025-07-29 00:21:28,4096,0.042534543526435396,6,50,5,32,64,0.005,0.01,0.005,0.01,0.0007754983805341923,0.001128060844565794,0.0014359858877756606,0.051233239303654206,mlp,0.2495692320696121,0.4995301635868069,0.6747392083451416,0.667161968474808,0.4131821403260099,0.7461770145243175,0.5318576467583628,0.7978880650347997,0.2775549255846917,1.0,0.43450957767262277,0.667161968474808,0.4131821403260099,0.7461770145243175,0.5318576467583628,660.2920460700989
7,2025-07-29 00:37:43,4096,0.02550703228894903,10,10,10,64,32,0.01,0.005,0.01,0.005,0.0002029310302350352,0.0009286990531941107,0.02577056705448183,0.04212626906553141,logistic_regression,0.2529167790764566,0.4862327658833277,0.8021032464813719,0.8071318161870209,0.4723600283486889,0.8606255041823012,0.6099467363029393,0.8817241685640455,0.2775549255846917,1.0,0.43450957767262277,0.8071318161870209,0.4723600283486889,0.8606255041823012,0.6099467363029393,974.909520149231
8,2025-07-29 00:58:30,4096,0.01960549506200188,2,0.05,10,64,16,0.01,0.01,0.01,0.005,0.00021728632931034637,0.0001761444999966732,0.0036659344500149698,0.03313353941015782,logistic_regression,0.28250968938171067,0.4231820809980659,0.7378758645241806,0.7193175971716936,0.43766123316796596,0.7972718035546559,0.5651075003059509,0.8260663703702504,0.2775549255846917,1.0,0.43450957767262277,0.7193175971716936,0.43766123316796596,0.7972718035546559,0.5651075003059509,1247.2501239776611
9,2025-07-29 01:13:58,4096,0.03704614175791881,6,0.01,10,16,32,0.005,0.01,0.005,0.005,0.00011015243536009213,0.000260189834211521,0.007899420716278234,0.08756933388936133,logistic_regression,0.24880089690865506,0.4472496599762092,0.8015489037552742,0.7969868372081915,0.46956768249468456,0.8578258405318944,0.6069146563321763,0.8732851671393372,0.2775549255846917,1.0,0.43450957767262277,0.7969868372081915,0.46956768249468456,0.8578258405318944,0.6069146563321763,927.9201700687408
