trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,abc_model_name,mse,mae,auc,ndcg_20,precision_20,recall_20,f1_20,ndcg,precision,recall,f1,training_time
0,2025-07-31 09:53:15,4096,0.049451073154463954,1,0.01,20,64,32,0.005,0.005,0.005,0.01,0.0001,1e-06,0.001,0.005,logistic_regression,0.13064364475404186,0.23267095812832836,0.679444810980506,0.4627741506443542,0.07958894401133948,0.3723138919214988,0.13114354300351405,0.4627741506443542,0.07958894401133948,0.3723138919214988,0.13114354300351405,1333.7066247463226
1,2025-07-31 10:16:35,4096,0.045939891935728616,12,5,10,16,32,0.005,0.01,0.01,0.005,1e-05,0.0001,0.0005,0.005,logistic_regression,0.1400785976082791,0.24904254804721432,0.6678482855144081,0.46083132773314633,0.07813607370659106,0.356966518793112,0.12820866942190356,0.46083132773314633,0.07813607370659106,0.356966518793112,0.12820866942190356,1400.1105978488922
2,2025-07-31 10:38:26,4096,0.018894887728563944,2,0.5,15,16,32,0.005,0.005,0.01,0.005,1e-05,0.001,0.005,1e-06,logistic_regression,0.15689384884947863,0.18107786842520876,0.6701255270791044,0.4326283081514282,0.07547838412473423,0.34426745242856377,0.12381183446353182,0.4326283081514282,0.07547838412473423,0.34426745242856377,0.12381183446353182,1311.149233341217
3,2025-07-31 11:01:36,4096,0.019172912616812483,1,5,5,16,32,0.005,0.005,0.01,0.005,5e-05,1e-06,5e-05,0.001,logistic_regression,0.15455884935303155,0.21811788521231884,0.6603818911164518,0.45615730477494876,0.07902197023387668,0.37110493287142937,0.13029855694784048,0.45615730477494876,0.07902197023387668,0.37110493287142937,0.13029855694784048,1390.3573729991913
4,2025-07-31 11:10:35,4096,0.015706465045506476,6,0.1,5,64,32,0.005,0.005,0.005,0.01,0.005,1e-06,5e-05,1e-05,logistic_regression,0.25000007842959426,0.5000000641979172,0.5067016235955512,0.2882972378708073,0.055882352941176466,0.23778438640917138,0.09049680624107534,0.2882972378708073,0.055882352941176466,0.23778438640917138,0.09049680624107534,538.7544379234314
5,2025-07-31 11:26:44,4096,0.018822669005826805,10,0.5,5,32,64,0.01,0.01,0.01,0.005,1e-05,1e-05,5e-05,5e-05,logistic_regression,0.12390682060104863,0.2150395004900007,0.7002272570041839,0.46662687032895783,0.08015591778880227,0.3816466046598072,0.13248621382699916,0.46662687032895783,0.08015591778880227,0.3816466046598072,0.13248621382699916,968.6371119022369
6,2025-07-31 11:46:32,4096,0.04690508397014167,2,0.01,10,32,64,0.005,0.005,0.005,0.01,0.0001,0.0005,5e-05,1e-05,mlp,0.10800420647079462,0.23646829500705335,0.7254771183560492,0.48220130018335544,0.0832388377037562,0.39141637339116736,0.13728299286609758,0.48220130018335544,0.0832388377037562,0.39141637339116736,0.13728299286609758,1187.8201162815094
7,2025-07-31 11:55:06,4096,0.022704187984144773,1,1,15,64,32,0.005,0.005,0.005,0.005,0.005,5e-06,0.0001,0.001,logistic_regression,0.2452655921605897,0.4951622896233932,0.6085673596707055,0.4242443377334487,0.06431608788093551,0.30687201995713026,0.10634396623705064,0.4242443377334487,0.06431608788093551,0.30687201995713026,0.10634396623705064,513.76895570755
8,2025-07-31 12:09:25,4096,0.04018433899727099,4,50,10,32,16,0.01,0.005,0.01,0.005,0.0001,1e-05,0.005,1e-06,logistic_regression,0.11116892694565332,0.2648256372868698,0.7349610391741502,0.4948972838346044,0.08497519489723601,0.39781561743669175,0.14003770892585224,0.4948972838346044,0.08497519489723601,0.39781561743669175,0.14003770892585224,859.1238849163055
9,2025-07-31 12:17:34,4096,0.01519313728558367,6,100,10,16,64,0.01,0.005,0.005,0.01,0.005,0.005,0.0005,0.005,mlp,0.25000017188206597,0.5000001634467023,0.5045535570327014,0.29306955377508864,0.05524450744153083,0.24333099094944088,0.09004557180816507,0.29306955377508864,0.05524450744153083,0.24333099094944088,0.09004557180816507,489.4137513637543
10,2025-07-31 12:26:48,4096,0.03646534412931134,4,50,20,32,16,0.01,0.01,0.01,0.005,0.001,5e-05,5e-06,0.0001,mlp,0.24966341247956772,0.4996631544667027,0.6488692486391087,0.4186563869505328,0.05343727852586818,0.2638489321415125,0.08887476607282899,0.4186563869505328,0.05343727852586818,0.2638489321415125,0.08887476607282899,553.7015092372894
11,2025-07-31 12:41:30,4096,0.0370491564097488,4,50,10,32,16,0.01,0.005,0.01,0.005,0.0001,1e-05,0.005,1e-06,mlp,0.1118422867471472,0.26063610649468416,0.729823421763364,0.49478149827920764,0.08437278525868179,0.39977908499805487,0.13933840582529008,0.49478149827920764,0.08437278525868179,0.39977908499805487,0.13933840582529008,882.3255627155304
12,2025-07-31 12:50:15,4096,0.03467423998261786,4,50,10,32,16,0.01,0.01,0.01,0.005,0.0005,1e-05,0.005,1e-06,mlp,0.16133868280429203,0.39003404158747274,0.7104878531485441,0.4335571265830014,0.05942593905031892,0.3011769512640951,0.09926555571185659,0.4335571265830014,0.05942593905031892,0.3011769512640951,0.09926555571185659,521.1748199462891
13,2025-07-31 13:01:43,4096,0.0400182970822607,8,0.05,10,32,16,0.01,0.005,0.01,0.005,5e-06,1e-05,1e-06,0.0005,logistic_regression,0.1533083343061512,0.23213468802521722,0.6956478614092027,0.41915006744404204,0.07771084337349397,0.3779025467923211,0.12891247824623736,0.41915006744404204,0.07771084337349397,0.3779025467923211,0.12891247824623736,688.9525146484375
14,2025-07-31 13:13:49,4096,0.02880014832916293,4,10,10,32,16,0.01,0.005,0.01,0.005,1e-06,1e-05,1e-05,5e-06,logistic_regression,0.18441492154888714,0.23226755892776296,0.7009442711064002,0.3869621645749079,0.07413182140326009,0.36905980825753376,0.12346386511770883,0.3869621645749079,0.07413182140326009,0.36905980825753376,0.12346386511770883,725.2357115745544
15,2025-07-31 13:28:45,4096,0.04124371415202916,4,50,20,32,16,0.01,0.01,0.01,0.01,0.0001,0.0005,0.005,1e-06,mlp,0.11060766592934614,0.26168205684550117,0.7367354141072018,0.4955287778060975,0.08610914245216159,0.40665451259296626,0.1421235961506747,0.4955287778060975,0.08610914245216159,0.40665451259296626,0.1421235961506747,896.6233868598938
16,2025-07-31 13:38:37,4096,0.04226786966507773,12,50,20,32,16,0.01,0.01,0.01,0.01,0.0001,0.0005,0.005,1e-06,mlp,0.13793346649925622,0.3515053005623625,0.7511900265048255,0.479344180478389,0.0787384833451453,0.355214507715699,0.12890360097001857,0.479344180478389,0.0787384833451453,0.355214507715699,0.12890360097001857,588.2103419303894
