trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,dropout_rate,grad_clip_norm,abc_model_name,mse,mae,auc,train_mse,train_mae,train_auc,ndcg_20,precision_20,recall_20,f1_20,ndcg,precision,recall,f1,training_time
0,2025-08-03 15:50:08,4096,0.0987649145975439,1,0.01,40,32,64,0.01,0.005,0.01,0.01,0.0005,0.005,0.0005,0.005,0.2,0.5,logistic_regression,0.14412983618078937,0.37498892925727845,0.7747892598838428,0.1836052905381464,0.41556386997888284,0.9300450285323043,0.5411419779695263,0.0935152374202693,0.4620268170554746,0.1555473510722689,0.5411419779695263,0.0935152374202693,0.4620268170554746,0.1555473510722689,54.98262310028076
1,2025-08-03 15:51:44,4096,0.08345863109537667,8,5,50,64,16,0.01,0.005,0.005,0.01,0.0005,5e-05,0.001,0.0001,0.4,0.5,logistic_regression,0.0914665041851196,0.2868142472834789,0.8258975326479748,0.17914051865146507,0.3794434216063308,0.8083036445288762,0.5850121841197388,0.10566973777462792,0.5106363965358379,0.17510393330902987,0.5850121841197388,0.10566973777462792,0.5106363965358379,0.17510393330902987,96.40591311454773
2,2025-08-03 15:52:42,4096,0.07364288404994689,4,0.5,5,64,64,0.01,0.005,0.01,0.005,0.0001,0.001,1e-05,0.005,0.1,2.0,logistic_regression,0.15698756415303455,0.39127753278575655,0.7016781973138264,0.18438283949424,0.4171262818498374,0.866615584060306,0.437021108988351,0.06378454996456413,0.3527136952371385,0.10803255272369315,0.437021108988351,0.06378454996456413,0.3527136952371385,0.10803255272369315,57.80995011329651
3,2025-08-03 15:54:26,4096,0.06360275502006713,1,10,15,32,32,0.005,0.01,0.01,0.01,5e-05,0.0001,5e-05,5e-05,0.3,0.5,logistic_regression,0.05011204467409406,0.1329668193891612,0.8383311387939067,0.13471319588396632,0.24767726962048955,0.8852106796673973,0.5911064996919341,0.11038270729978739,0.5267842337382427,0.18252004659294024,0.5911064996919341,0.11038270729978739,0.5267842337382427,0.18252004659294024,103.68482661247253
5,2025-08-03 15:56:49,4096,0.06529387861066029,8,10,30,32,16,0.01,0.01,0.01,0.005,0.001,0.001,0.01,0.0001,0.1,2.0,logistic_regression,0.08812672783608655,0.27846703193435735,0.7927578718404585,0.18550194235319645,0.37861227356087607,0.8152478051777217,0.5608013384755014,0.09851169383416017,0.47781591590717515,0.16334617471497645,0.5608013384755014,0.09851169383416017,0.47781591590717515,0.16334617471497645,79.14416003227234
6,2025-08-03 15:57:39,4096,0.07512436148805442,10,5,30,32,64,0.01,0.005,0.005,0.005,0.01,0.0005,0.005,0.001,0.3,2.0,logistic_regression,0.16606201894166384,0.404916484193999,0.5379457100500409,0.20901249413318337,0.44770625842300765,0.6949983001979332,0.37849223498991696,0.06576895818568392,0.31135074894710263,0.10859795444937165,0.37849223498991696,0.06576895818568392,0.31135074894710263,0.10859795444937165,49.68439078330994
9,2025-08-03 16:01:02,4096,0.06572990587825273,10,0.05,50,64,32,0.005,0.01,0.005,0.005,1e-05,0.0001,0.0005,1e-05,0.2,2.0,logistic_regression,0.04497159947440639,0.12483611550753018,0.8252001299595513,0.16369358690802305,0.2746943980040181,0.8059612571770604,0.5807649997850519,0.10786676116229624,0.5146822605085044,0.17835417464714487,0.5807649997850519,0.10786676116229624,0.5146822605085044,0.17835417464714487,105.68426704406738
11,2025-08-03 16:03:23,4096,0.05411920440290037,2,10,15,32,32,0.005,0.01,0.01,0.01,5e-05,0.0001,0.0001,5e-05,0.3,0.5,logistic_regression,0.04894756596823504,0.13824644293280297,0.8419677362098503,0.13997673484347709,0.26045700626641966,0.8769016372217732,0.5905661910276225,0.11002834868887314,0.5247859978006039,0.18191566423270875,0.5905661910276225,0.11002834868887314,0.5247859978006039,0.18191566423270875,91.43351936340332
12,2025-08-03 16:04:57,4096,0.048907951682691214,2,10,15,32,32,0.005,0.01,0.01,0.01,5e-05,0.01,0.0001,5e-05,0.3,0.5,logistic_regression,0.050800477369416924,0.145512413381456,0.8388586631371171,0.13836116364564915,0.2619935603849447,0.8780319236360763,0.5894971255145954,0.1098157335223246,0.5210830467810801,0.18140189455047925,0.5894971255145954,0.1098157335223246,0.5210830467810801,0.18140189455047925,93.8908052444458
13,2025-08-03 16:06:30,4096,0.033143865277372786,2,50,50,32,32,0.005,0.01,0.01,0.01,5e-05,0.0001,0.0001,0.0005,0.3,0.5,logistic_regression,0.04850641276641177,0.13850850195616865,0.8415335935411055,0.14163232789762265,0.26250617306990737,0.8778004795189092,0.5900853420005651,0.11020552799433027,0.5243255152569096,0.18213000250929512,0.5900853420005651,0.11020552799433027,0.5243255152569096,0.18213000250929512,92.61885499954224
