trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,grad_clip_norm,abc_model_name,mse,mae,auc,train_mse,train_mae,train_auc,ndcg_20,precision_20,recall_20,f1_20,ndcg,precision,recall,f1,training_time
0,2025-08-03 17:06:29,4096,0.0987649145975439,1,0.01,40,32,64,0.01,0.005,0.01,0.01,0.0005,0.005,0.0005,0.005,1.0,mlp,0.14064057026962806,0.35533603924317986,0.7368628282864099,0.1515889526291417,0.35752750525292226,0.8407058368009006,0.4695021969580905,0.07236002834868888,0.3393296146885887,0.11928354746681179,0.4695021969580905,0.07236002834868888,0.3393296146885887,0.11928354746681179,76.3360755443573
1,2025-08-03 17:08:37,4096,0.01150025338274498,4,0.05,5,64,16,0.01,0.01,0.01,0.005,0.0005,0.005,1e-05,5e-05,2.0,logistic_regression,0.15950107827151916,0.39217274638963023,0.7638465896548197,0.1857373956235632,0.418949170954478,0.7983773497431302,0.466087446770142,0.0708008504606662,0.3769023494023296,0.11920847064070185,0.466087446770142,0.0708008504606662,0.3769023494023296,0.11920847064070185,127.88943266868591
2,2025-08-03 17:10:02,4096,0.05454770570411265,4,0.5,50,16,16,0.005,0.005,0.005,0.01,5e-05,0.0005,0.005,5e-05,0.5,mlp,0.1340656780406589,0.31955270817366854,0.7070245837105551,0.10195409954764816,0.2655547976101563,0.9328310337878074,0.4703757780144376,0.07806520198440822,0.36252452017094533,0.1284666821232232,0.4703757780144376,0.07806520198440822,0.36252452017094533,0.1284666821232232,85.34115099906921
3,2025-08-03 17:11:39,4096,0.06619982740339993,1,5,25,16,64,0.01,0.01,0.01,0.01,0.0001,0.01,0.01,1e-05,2.0,mlp,0.13923810648044951,0.2773872312806887,0.6695118029567548,0.0050658089081882,0.052570307449193,1.0,0.4606887889841834,0.07675407512402552,0.3483782252312477,0.1257935397928049,0.4606887889841834,0.07675407512402552,0.3483782252312477,0.1257935397928049,97.10911703109741
4,2025-08-03 17:13:14,4096,0.041746957535338254,1,0.05,40,32,64,0.005,0.005,0.01,0.005,1e-05,0.001,0.005,0.0005,1.0,logistic_regression,0.2270070867630079,0.30504393602763946,0.6073558091610947,0.00023715347373276784,0.006524300828829721,0.9999467495094357,0.40668309792718693,0.0692062367115521,0.32962826290462904,0.1143949764192865,0.40668309792718693,0.0692062367115521,0.32962826290462904,0.1143949764192865,95.10782408714294
5,2025-08-03 17:14:26,4096,0.05692554085437267,10,1,5,16,64,0.005,0.005,0.01,0.005,0.0001,1e-05,0.0005,0.0005,2.0,logistic_regression,0.17803820617531768,0.4144274049873044,0.6964388401285043,0.1727132223192783,0.4020747403123491,0.8464678492413188,0.4424986171894978,0.061764705882352944,0.29506175605622753,0.10214714727676436,0.4424986171894978,0.061764705882352944,0.29506175605622753,0.10214714727676436,71.65965223312378
6,2025-08-03 17:15:25,4096,0.07045263383232668,12,50,5,64,32,0.005,0.01,0.01,0.005,0.01,5e-05,0.0005,0.005,2.0,mlp,0.39953371741266347,0.49921744355639536,0.5020591101748304,0.40021179921494193,0.4994700045744014,0.5008844638533363,0.2803406440345578,0.049255846917080084,0.20884887159514368,0.07971204949209885,0.2803406440345578,0.049255846917080084,0.20884887159514368,0.07971204949209885,58.993990898132324
7,2025-08-03 17:17:07,4096,0.017170293848731817,1,100,5,32,64,0.005,0.005,0.01,0.005,0.001,1e-05,0.0001,0.001,1.0,mlp,0.11416746682682621,0.31181565514107995,0.7784577015526484,0.15688255101257173,0.35687904237504453,0.8126412271422726,0.4901387551452873,0.08125442948263643,0.3967845508354204,0.13488649935704178,0.4901387551452873,0.08125442948263643,0.3967845508354204,0.13488649935704178,102.16975784301758
8,2025-08-03 17:18:51,4096,0.08576919596112326,12,5,20,16,16,0.01,0.01,0.005,0.005,5e-05,0.01,5e-05,0.0001,0.5,logistic_regression,0.190458574266376,0.43176978472942634,0.7012211469155578,0.19313763604653972,0.43047024568606085,0.7832773988956003,0.4477472279673848,0.06729270021261517,0.30350377000827106,0.11016063985937409,0.4477472279673848,0.06729270021261517,0.30350377000827106,0.11016063985937409,103.88622760772705
9,2025-08-03 17:19:54,4096,0.06726688193677202,10,10,20,64,32,0.01,0.005,0.005,0.01,0.0001,0.001,0.01,0.005,0.5,mlp,0.19094658275406473,0.43212261237806865,0.6857199670497895,0.1944474133642144,0.4314277474759131,0.7682065415680233,0.42494571259699204,0.05793763288447909,0.28034203571121286,0.09602914662031584,0.42494571259699204,0.05793763288447909,0.28034203571121286,0.09602914662031584,63.3245689868927
