trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,abc_model_name,mse,mae,auc,train_mse,train_mae,train_auc,ndcg_20,precision_20,recall_20,f1_20,ndcg,precision,recall,f1,training_time
0,2025-08-03 13:38:31,4096,0.0987649145975439,1,0.01,40,32,0.005,0.005,0.01,0.005,0.01,0.0001,0.01,1e-05,mlp,0.25000858935784653,0.4999976209739426,0.49442139563229753,0.2498908152569136,0.49987819084888463,0.6385757281476762,0.2864392966354208,0.05163004961020552,0.2259987099235258,0.08405703086950116,0.2864392966354208,0.05163004961020552,0.2259987099235258,0.08405703086950116,48.908374547958374
1,2025-08-03 13:39:58,4096,0.08483788752772925,2,50,40,32,0.005,0.01,0.01,0.005,0.0001,1e-05,0.01,1e-05,logistic_regression,0.11204615871062602,0.2745436507462747,0.7363414397209425,0.061046565640694744,0.19837976269617688,0.9864074263815876,0.4941297763260537,0.08447909284195607,0.3900226253044742,0.13887729512242653,0.4941297763260537,0.08447909284195607,0.3900226253044742,0.13887729512242653,87.88611769676208
2,2025-08-03 13:41:22,4096,0.018962361099757956,1,0.05,40,16,0.005,0.005,0.005,0.01,1e-05,0.001,0.0001,0.001,logistic_regression,0.1571841055936813,0.24641760490882608,0.7012766856155341,0.0764200579582294,0.16752531691450973,0.9537227097919236,0.39034320305248965,0.07041105598866051,0.3613675072946192,0.11785794827387358,0.39034320305248965,0.07041105598866051,0.3613675072946192,0.11785794827387358,83.40762209892273
3,2025-08-03 13:42:23,4096,0.017770771299670737,6,0.01,15,32,0.01,0.005,0.005,0.005,0.0001,1e-05,0.01,0.0001,logistic_regression,0.14551032196813116,0.3629543884886804,0.7438958868657486,0.15176549527626895,0.3603763452983043,0.8456464185644731,0.47496625932080505,0.07866761162296244,0.34920331617803285,0.12840784016679407,0.47496625932080505,0.07866761162296244,0.34920331617803285,0.12840784016679407,61.37488865852356
4,2025-08-03 13:43:39,4096,0.07517244903476944,6,1,50,16,0.005,0.005,0.005,0.005,0.005,0.01,1e-05,0.001,logistic_regression,0.2500000936069641,0.5000000828593273,0.5062478904198786,0.24999921306883385,0.49999921055718904,0.6191648684976955,0.2829143420876,0.05386250885896527,0.2218808132638786,0.08668247831391451,0.2829143420876,0.05386250885896527,0.2218808132638786,0.08668247831391451,75.85907316207886
5,2025-08-03 13:44:26,4096,0.0463781597838766,2,100,25,16,0.01,0.01,0.01,0.01,0.005,0.0005,0.001,0.01,logistic_regression,0.2500000578031696,0.5000000470969476,0.5139523536137234,0.24999632947010308,0.49999632607841615,0.662865824409472,0.3000638413186855,0.059319631467044664,0.2453570114346866,0.09554055314214158,0.3000638413186855,0.059319631467044664,0.2453570114346866,0.09554055314214158,46.55912661552429
6,2025-08-03 13:45:33,4096,0.031760988446602426,8,0.1,20,32,0.01,0.01,0.01,0.01,0.01,0.0001,1e-05,0.0001,mlp,0.24999998994033418,0.49999998991897565,0.5009090506271229,0.24999991351850887,0.49999991349043765,0.5745521395368673,0.28001278114330347,0.050637845499645645,0.20972132663502552,0.08157835231271987,0.28001278114330347,0.050637845499645645,0.20972132663502552,0.08157835231271987,67.39607119560242
7,2025-08-03 13:46:21,4096,0.03841941159966213,10,50,5,16,0.005,0.005,0.005,0.005,0.01,5e-05,0.005,1e-05,logistic_regression,0.25003641360539974,0.4999818993197952,0.5019067169377969,0.24998436636154853,0.49993670438149945,0.543357183445734,0.280000766382333,0.05116938341601702,0.21757657745851247,0.08285340756817684,0.280000766382333,0.05116938341601702,0.21757657745851247,0.08285340756817684,47.72753548622131
8,2025-08-03 13:47:16,4096,0.08624955334597341,2,100,15,64,0.01,0.005,0.01,0.01,0.0005,0.001,0.001,0.0005,logistic_regression,0.18540766022817656,0.4247093195979625,0.6863036441353475,0.19100222141011688,0.42551362436549767,0.7646177398137157,0.4218112229576413,0.05428773919206236,0.27311062979314965,0.0905719761936877,0.4218112229576413,0.05428773919206236,0.27311062979314965,0.0905719761936877,55.57905554771423
9,2025-08-03 13:48:08,4096,0.04893242445331363,12,100,30,32,0.01,0.01,0.01,0.01,0.01,1e-05,5e-05,0.0001,mlp,0.24999995359066207,0.4999999529361342,0.5004976375923845,0.24999973970879974,0.49999973891461336,0.6113333544984927,0.2934718426153825,0.055386250885896535,0.24621096995813435,0.0904298953073795,0.2934718426153825,0.055386250885896535,0.24621096995813435,0.0904298953073795,51.647674560546875
