trial_number,timestamp,objective_value,epochs,prop_epochs,lr,prop_lr,batch_size,embedding_k,gamma,G,verbose,test_ratio,unbiased_test_ratio,seed,save_results,bmse_weight,beta,ece_weight,n_bins,ECE,BMSE,DR_Bias,DR_Variance,MSE,MAE
0,2025-07-29 02:07:35,,150,100,0.005,0.005,128,4,0.1,2,False,0.2,0.2,2024,,10,1.0,10.0,10,0.23231148719787598,6.6894073486328125,0.06523533910512924,0.0007328912033699453,0.08946932107210159,0.22449956834316254
1,2025-07-29 02:12:29,,150,100,0.001,0.1,64,4,0.1,8,False,0.2,0.2,2024,,1,1.0,10.0,10,0.26096516847610474,13403841536.0,386.8631286621094,35278.1640625,0.05727917328476906,0.1756027340888977
2,2025-07-29 02:14:41,,150,100,0.05,0.01,64,8,0.2,6,False,0.2,0.2,2024,,0.5,1.0,10.0,10,0.23596668243408203,72.42513275146484,0.666557788848877,0.008232525549829006,0.054071977734565735,0.1746068000793457
3,2025-07-29 02:17:55,,150,100,0.005,0.1,64,4,0.05,8,False,0.2,0.2,2024,,1,1.0,10.0,10,0.26096516847610474,9650971648.0,3814.8740234375,51059.4609375,0.0780213326215744,0.20432722568511963
5,2025-07-29 02:20:26,,150,100,0.05,0.001,128,8,0.1,6,False,0.2,0.2,2024,,1,1.0,10.0,10,0.22282718122005463,5.992254257202148,0.046149369329214096,0.00013754957763012499,0.07256977260112762,0.1998983472585678
6,2025-07-29 02:24:12,,150,100,0.005,0.05,128,8,0.05,1,False,0.2,0.2,2024,,0.1,1.0,10.0,10,0.2456914484500885,995.257080078125,2.271364450454712,3.196887969970703,0.1300436407327652,0.2740192115306854
7,2025-07-29 02:28:25,,150,100,0.005,0.05,64,8,0.1,4,False,0.2,0.2,2024,,5,1.0,10.0,10,0.26096516847610474,8529209344.0,5440.6171875,93113.6640625,0.13767309486865997,0.282171368598938
8,2025-07-29 02:31:02,,150,100,0.001,0.01,256,8,0.01,10,False,0.2,0.2,2024,,15,1.0,10.0,10,0.22722885012626648,17.94535255432129,0.2775127589702606,0.0010176468640565872,0.17276924848556519,0.31784558296203613
9,2025-07-29 02:33:37,,150,100,0.005,0.001,128,4,0.1,6,False,0.2,0.2,2024,,20,1.0,10.0,10,0.2243357002735138,10.2366943359375,0.1516730785369873,0.0004263371811248362,0.1249215304851532,0.26380884647369385
10,2025-07-29 02:37:11,,150,100,0.05,0.001,128,32,0.2,6,False,0.2,0.2,2024,,1,1.0,10.0,10,0.22455854713916779,7.815572261810303,0.075171560049057,0.0003215871984139085,0.1375313103199005,0.2824728488922119
11,2025-07-29 02:39:19,,150,100,0.01,0.005,128,16,0.1,2,False,0.2,0.2,2024,,10,1.0,10.0,10,0.228044331073761,17.831111907958984,0.30222436785697937,0.0011688200756907463,0.17917481064796448,0.3325223922729492
12,2025-07-29 02:42:31,,150,100,0.05,0.005,128,32,0.1,2,False,0.2,0.2,2024,,10,1.0,10.0,10,0.2353583425283432,48.98866653442383,0.49852263927459717,0.00464827474206686,0.23286285996437073,0.38216525316238403
13,2025-07-29 02:45:00,,150,100,0.01,0.005,128,4,0.1,2,False,0.2,0.2,2024,,0.5,1.0,10.0,10,0.22682753205299377,6.616328239440918,0.05192478746175766,0.0004052937147207558,0.0823216438293457,0.20906983315944672
