trial_number,timestamp,objective_value,epochs,prop_epochs,lr,prop_lr,batch_size,embedding_k,gamma,G,verbose,test_ratio,unbiased_test_ratio,seed,save_results,ece_weight,n_bins,beta,bmse_weight,ECE,BMSE,DR_Bias,DR_Variance,MSE,MAE
0,2025-07-29 02:28:39,,150,100,0.005,0.005,128,4,0.1,2,False,0.2,0.2,2024,,50,15,1.0,1.0,0.2457003891468048,1121716096.0,478.7141418457031,15358.3740234375,0.05600936338305473,0.1749180108308792
1,2025-07-29 02:53:53,,150,100,0.001,0.05,128,4,0.01,4,False,0.2,0.2,2024,,1,20,1.0,1.0,0.25090983510017395,3882077440.0,570.40234375,31292.271484375,0.0728319063782692,0.19702816009521484
2,2025-07-29 03:33:32,,150,100,0.05,0.005,64,32,0.2,6,False,0.2,0.2,2024,,50,5,1.0,1.0,0.23364581167697906,500782912.0,972.7239379882812,20957.4609375,0.1361841857433319,0.28034844994544983
3,2025-07-29 03:40:50,,150,100,0.1,0.005,256,16,0.1,4,False,0.2,0.2,2024,,1,5,1.0,1.0,0.2246788889169693,6.712623119354248,0.003229571273550391,9.068071813089773e-05,0.11153733730316162,0.25148308277130127
4,2025-07-29 03:54:05,,150,100,0.005,0.01,256,8,0.01,4,False,0.2,0.2,2024,,50,20,1.0,1.0,0.2372649908065796,573007360.0,887.4515991210938,26272.3984375,0.1222507432103157,0.2616780400276184
5,2025-07-29 07:31:27,,150,100,0.1,0.1,128,8,0.1,8,False,0.2,0.2,2024,,50,20,1.0,1.0,0.24274559319019318,13401604096.0,1283.917236328125,58634.95703125,0.1023029014468193,0.24624751508235931
6,2025-07-29 12:23:43,,150,100,0.01,0.1,64,16,0.05,4,False,0.2,0.2,2024,,20,5,1.0,1.0,0.2418471872806549,12604964864.0,1317.8623046875,125605.375,0.19530390202999115,0.34559929370880127
7,2025-07-29 12:28:54,,150,100,0.001,0.1,256,32,0.2,4,False,0.2,0.2,2024,,1,15,1.0,1.0,0.2536998391151428,17606027264.0,3963.240234375,103531.5625,0.17458371818065643,0.3340546488761902
8,2025-07-29 12:58:47,,150,100,0.005,0.01,64,32,0.1,2,False,0.2,0.2,2024,,10,20,1.0,1.0,0.26094943284988403,16910974976.0,2855.13916015625,145195.546875,0.2361540049314499,0.38894543051719666
9,2025-07-29 13:11:47,,150,100,0.005,0.005,256,32,0.05,1,False,0.2,0.2,2024,,1,10,1.0,1.0,0.22541089355945587,11.114667892456055,0.03677617758512497,0.00022015173453837633,0.2563331723213196,0.40992504358291626
10,2025-07-29 13:18:19,,150,100,0.1,0.001,256,16,0.1,10,False,0.2,0.2,2024,,5,5,1.0,1.0,0.22379089891910553,7.008679389953613,0.0013295859098434448,7.046254177112132e-05,0.08879278600215912,0.22159339487552643
11,2025-07-29 13:25:13,,150,100,0.1,0.001,256,16,0.1,10,False,0.2,0.2,2024,,5,5,1.0,1.0,0.22484305500984192,7.22532844543457,0.00017316149023827165,6.536152068292722e-05,0.08049526065587997,0.21194833517074585
12,2025-07-29 13:32:05,,150,100,0.1,0.001,256,16,0.1,10,False,0.2,0.2,2024,,5,5,1.0,1.0,0.22542214393615723,8.264795303344727,0.0060195038095116615,7.504997483920306e-05,0.08246678858995438,0.21468926966190338
13,2025-07-29 13:39:01,,150,100,0.1,0.001,256,16,0.1,10,False,0.2,0.2,2024,,5,5,1.0,1.0,0.2248484194278717,7.235099792480469,0.00012759517994709313,6.744026904925704e-05,0.08212883770465851,0.2150534838438034
14,2025-07-29 13:47:20,,150,100,0.1,0.05,256,16,0.1,6,False,0.2,0.2,2024,,10,10,1.0,1.0,0.22230000793933868,12.149535179138184,0.06252741813659668,6.941616447875276e-05,0.09787186235189438,0.23447957634925842
15,2025-07-29 13:56:19,,150,100,0.01,0.05,256,16,0.1,6,False,0.2,0.2,2024,,10,10,1.0,1.0,0.2223903387784958,11.16181468963623,0.059185583144426346,0.00010859048779821023,0.1825171560049057,0.33232152462005615
16,2025-07-29 14:04:57,,150,100,0.01,0.05,256,16,0.2,6,False,0.2,0.2,2024,,10,10,1.0,1.0,0.22282925248146057,16.509845733642578,0.06607910245656967,0.0001462350192014128,0.17583543062210083,0.32711896300315857
17,2025-07-29 14:14:04,,150,100,0.01,0.05,256,16,0.01,6,False,0.2,0.2,2024,,10,10,1.0,1.0,0.23324182629585266,32.0666389465332,0.02734043262898922,0.000453177432063967,0.2059558480978012,0.3569515347480774
18,2025-07-29 14:23:11,,150,100,0.05,0.05,128,4,0.05,6,False,0.2,0.2,2024,,10,10,1.0,1.0,0.22259241342544556,8.779219627380371,0.03612026572227478,2.6575680749374442e-05,0.049390073865652084,0.1629204899072647
19,2025-07-29 14:50:32,,150,100,0.01,0.05,64,8,0.1,6,False,0.2,0.2,2024,,10,10,1.0,1.0,0.25688356161117554,13525946368.0,1232.262939453125,66121.890625,0.10909850895404816,0.2456868439912796
20,2025-07-29 14:58:00,,150,100,0.01,0.05,256,16,0.1,1,False,0.2,0.2,2024,,20,10,1.0,1.0,0.2286127358675003,12.067768096923828,0.0440496951341629,0.0001075728505384177,0.1543397754430771,0.30457016825675964
21,2025-07-29 15:10:34,,150,100,0.05,0.05,128,4,0.05,6,False,0.2,0.2,2024,,10,10,1.0,1.0,0.2278681993484497,14.142724990844727,0.03512987494468689,5.089487603981979e-05,0.04769332334399223,0.16111281514167786
