trial_number,timestamp,objective_value,epochs,prop_epochs,lr,prop_lr,batch_size,embedding_k,gamma,G,verbose,test_ratio,unbiased_test_ratio,seed,save_results,beta,bmse_weight,ece_weight,n_bins,ECE,BMSE,DR_Bias,DR_Variance,MSE,MAE
0,2025-07-29 02:07:52,,150,100,0.005,0.005,128,4,0.1,2,False,0.2,0.2,2024,,10,1.0,10.0,10,0.22122228145599365,4.411459922790527,0.011006136424839497,6.701189704472199e-05,0.06459955126047134,0.1847710758447647
1,2025-07-29 02:09:44,,150,100,0.01,0.001,256,16,0.01,1,False,0.2,0.2,2024,,0.1,1.0,10.0,10,0.22257645428180695,7.828429698944092,0.06055935472249985,0.00027959057479165494,0.2336893081665039,0.3838241994380951
2,2025-07-29 02:11:01,,150,100,0.1,0.01,128,8,0.05,6,False,0.2,0.2,2024,,0.5,1.0,10.0,10,0.22461968660354614,7.064075469970703,0.042726751416921616,0.00013953969755675644,0.09920640289783478,0.23479172587394714
3,2025-07-29 02:15:58,,150,100,0.001,0.01,256,32,0.05,6,False,0.2,0.2,2024,,10,1.0,10.0,10,0.2267347276210785,19.323640823364258,0.1998586356639862,0.0005874711787328124,0.2697898745536804,0.4223499298095703
4,2025-07-29 02:16:57,,150,100,0.05,0.01,256,8,0.01,4,False,0.2,0.2,2024,,5,1.0,10.0,10,0.22056089341640472,4.3582587242126465,0.0003664091636892408,0.00010696955723688006,0.12582086026668549,0.26432743668556213
5,2025-07-29 02:18:26,,150,100,0.005,0.01,256,16,0.2,6,False,0.2,0.2,2024,,1,1.0,10.0,10,0.22068914771080017,8.976743698120117,0.05852169170975685,0.00021139079763088375,0.19914506375789642,0.3503146469593048
6,2025-07-29 02:19:52,,150,100,0.01,0.01,256,4,0.2,4,False,0.2,0.2,2024,,5,1.0,10.0,10,0.22461357712745667,8.050272941589355,0.07834546267986298,0.00018197177269030362,0.08628635108470917,0.21359379589557648
7,2025-07-29 02:24:22,,150,100,0.005,0.01,64,16,0.2,2,False,0.2,0.2,2024,,0.5,1.0,10.0,10,0.24355784058570862,263.22564697265625,1.2344387769699097,0.016648616641759872,0.19858179986476898,0.3486018180847168
8,2025-07-29 02:27:48,,150,100,0.005,0.001,256,32,0.1,4,False,0.2,0.2,2024,,5,1.0,10.0,10,0.22340670228004456,11.695137977600098,0.10437383502721786,0.00034868044895119965,0.2678462862968445,0.42061805725097656
9,2025-07-29 02:34:15,,150,100,0.005,0.01,64,32,0.1,2,False,0.2,0.2,2024,,1,1.0,10.0,10,0.2201443463563919,10.653780937194824,0.09514009952545166,0.00041173730278387666,0.2516058385372162,0.4035007059574127
10,2025-07-29 02:37:23,,150,100,0.001,0.005,128,4,0.1,10,False,0.2,0.2,2024,,10,1.0,10.0,10,0.22415155172348022,13.06994915008545,0.11974930018186569,0.0002535036182962358,0.16038082540035248,0.31858012080192566
11,2025-07-29 02:39:58,,150,100,0.01,0.005,128,4,0.2,8,False,0.2,0.2,2024,,5,1.0,10.0,10,0.2186581790447235,6.691537380218506,0.03313414379954338,0.00015359336975961924,0.16397473216056824,0.3073994815349579
12,2025-07-29 02:41:36,,150,100,0.01,0.1,128,4,0.2,4,False,0.2,0.2,2024,,10,1.0,10.0,10,0.2212836891412735,21.675291061401367,0.20957843959331512,0.0010094342287629843,0.08458005636930466,0.20903247594833374
13,2025-07-29 02:42:48,,150,100,0.1,0.1,128,4,0.1,2,False,0.2,0.2,2024,,10,1.0,10.0,10,0.2054278552532196,3.259276866912842,0.049619581550359726,2.0345793018350378e-05,0.06418699771165848,0.18816208839416504
14,2025-07-29 02:44:16,,150,100,0.1,0.1,128,4,0.1,2,False,0.2,0.2,2024,,10,1.0,10.0,10,0.22453805804252625,27.843502044677734,0.055145543068647385,0.0005380787188187242,0.07266746461391449,0.19986838102340698
15,2025-07-29 02:45:38,,150,100,0.1,0.05,128,4,0.1,2,False,0.2,0.2,2024,,10,1.0,10.0,10,0.2269744724035263,8.212759971618652,0.04345255345106125,0.00013585797569248825,0.06724341213703156,0.19173359870910645
16,2025-07-29 02:47:47,,150,100,0.05,0.005,128,4,0.1,2,False,0.2,0.2,2024,,0.1,1.0,10.0,10,0.22617708146572113,6.178298473358154,0.020262839272618294,8.714276918908581e-05,0.054563116282224655,0.17134837806224823
17,2025-07-29 02:48:51,,150,100,0.05,0.1,128,4,0.1,1,False,0.2,0.2,2024,,0.1,1.0,10.0,10,0.21541368961334229,10.763861656188965,0.002809286816045642,0.000135360867716372,0.06568612903356552,0.18708524107933044
18,2025-07-29 02:51:33,,150,100,0.05,0.05,64,8,0.1,10,False,0.2,0.2,2024,,0.1,1.0,10.0,10,0.2203175574541092,5.232748508453369,0.011392143554985523,5.709442848456092e-05,0.05094283074140549,0.1688717156648636
19,2025-07-29 02:54:08,,150,100,0.05,0.05,64,8,0.01,10,False,0.2,0.2,2024,,0.1,1.0,10.0,10,0.22443783283233643,7.695446014404297,0.020006852224469185,0.00018418616673443466,0.08828269690275192,0.21900945901870728
20,2025-07-29 02:57:28,,150,100,0.05,0.05,64,8,0.05,10,False,0.2,0.2,2024,,0.1,1.0,10.0,10,0.22310447692871094,5.845980167388916,0.002905812580138445,5.9752201195806265e-05,0.05488915741443634,0.1738182008266449
21,2025-07-29 02:59:58,,150,100,0.05,0.05,64,8,0.05,10,False,0.2,0.2,2024,,0.1,1.0,10.0,10,0.222817525267601,5.167744159698486,0.008847624994814396,4.399857061798684e-05,0.0587785579264164,0.17983922362327576
22,2025-07-29 03:02:45,,150,100,0.05,0.05,64,8,0.05,10,False,0.2,0.2,2024,,0.1,1.0,10.0,10,0.2222057282924652,7.443845272064209,0.02910766191780567,0.0001042681178660132,0.05974490940570831,0.18167473375797272
23,2025-07-29 03:05:13,,150,100,0.05,0.05,64,8,0.05,10,False,0.2,0.2,2024,,0.1,1.0,10.0,10,0.21418601274490356,4.276824474334717,0.00723234424367547,5.4373504099203274e-05,0.05906319618225098,0.1804410219192505
24,2025-07-29 03:07:51,,150,100,0.05,0.005,64,8,0.05,8,False,0.2,0.2,2024,,0.1,1.0,10.0,10,0.2266690731048584,7.691983222961426,0.02790827304124832,9.299144585384056e-05,0.06300805509090424,0.18621601164340973
25,2025-07-29 03:11:04,,150,100,0.05,0.05,64,8,0.1,10,False,0.2,0.2,2024,,0.1,1.0,10.0,10,0.22877895832061768,8.84930419921875,0.02280467562377453,7.64828801038675e-05,0.052389197051525116,0.17212463915348053
