trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,abc_model_name,mse,mae,auc,ndcg_5,precision_5,recall_5,f1_5,ndcg_10,precision_10,recall_10,f1_10,ndcg,precision,recall,f1,training_time
0,2025-07-26 22:30:35,64,0.061648785713594396,8,0.5300512596323975,15,16,8,0.006240512779176942,0.009680905314039638,0.005499440637019753,0.007419598870293444,6.387396314689682,0.001063987406650601,0.021943891597065182,0.34191507672475274,logistic_regression,0.25,0.5,0.5,0.44660611876587275,0.3806896551724138,0.303651324728911,0.33783427121480786,0.5462021345887261,0.39344827586206893,0.608031183376011,0.4777508286623652,0.44660611876587275,0.3806896551724138,0.303651324728911,0.33783427121480786,29.653971195220947
1,2025-07-26 22:30:47,256,0.08094481395760471,4,0.21712011166702264,10,8,8,0.0057114490123577446,0.006715915496350151,0.007137151034448486,0.006026438623078573,0.006196695409905055,5.772867120550036e-06,2.552113327420776e-05,0.48394493578469583,mlp,0.2502100384372316,0.5001350950385476,0.5059468711890804,0.4578228332327326,0.40344827586206894,0.2967280564263323,0.3419550683006987,0.5579929794663189,0.40827586206896554,0.615683674562985,0.4909740551287867,0.4578228332327326,0.40344827586206894,0.2967280564263323,0.3419550683006987,11.977433443069458
2,2025-07-26 22:32:02,64,0.13586257609452174,2,0.6145627137801641,15,8,16,0.008803853309056562,0.005277264633650254,0.005488991189709023,0.007456384268018913,2.6195638827653823e-06,9.029622567505713,8.689583096152716e-07,8.408448343849454,mlp,0.3130046811320905,0.4082162482414566,0.6471271127525695,0.6217807162397906,0.506896551724138,0.4339642397832053,0.46760366401340653,0.6817790111856764,0.4417241379310345,0.6923363035432001,0.539339255046094,0.6217807162397906,0.506896551724138,0.4339642397832053,0.46760366401340653,74.62555265426636
3,2025-07-26 22:33:05,64,0.1960058452260736,8,0.0351240783651753,5,8,16,0.009440017279760975,0.008407685410163103,0.009331766155197718,0.00507826052526635,2.1262728601587458e-07,1.5432066648195688,0.04039663237231997,6.693470562479103,mlp,0.2314900386865701,0.4376578203235865,0.6772703511323821,0.6417361572703777,0.5186206896551724,0.43867300802645626,0.4753084628192173,0.7037718765605903,0.45034482758620686,0.7084160379850035,0.5506425147148782,0.6417361572703777,0.5186206896551724,0.43867300802645626,0.4753084628192173,62.97642660140991
4,2025-07-26 22:33:46,64,0.06636531029915996,2,0.3298897226115839,5,4,4,0.00999548936187919,0.009498509128533828,0.008795899681536183,0.005833251544355204,6.017285537166303e-07,3.667138719812573,0.12504899648843182,3.2867765544338523,logistic_regression,0.2598262004568633,0.42983827016540027,0.6514173817759455,0.5827350275317708,0.48758620689655174,0.39151345302207374,0.4343001555151886,0.6539230065977625,0.4417241379310345,0.6800270036476933,0.5355632471803817,0.5827350275317708,0.48758620689655174,0.39151345302207374,0.4343001555151886,40.711573123931885
5,2025-07-26 22:34:35,128,0.11667210614536912,2,0.21491588497529618,20,8,16,0.005728797697326133,0.009618944213144376,0.0073669687861518856,0.008896634788507473,5.241303726548241e-05,4.460080876178568e-06,0.0012419797012739894,9.90787861689173,logistic_regression,0.3534420166555766,0.43432498782457973,0.6031805640296359,0.5439978107612172,0.46965517241379307,0.3919542382904452,0.4273011252561763,0.6214648850740073,0.43,0.6721381683450649,0.5244703807370361,0.5439978107612172,0.46965517241379307,0.3919542382904452,0.4273011252561763,48.93704438209534
6,2025-07-26 22:34:57,128,0.08525338852790167,2,0.9324905357822979,15,4,8,0.006125027594491509,0.005312141177913285,0.006212024409463271,0.009792506510600745,0.312708434347678,7.661932536788588e-06,0.0002812765411949158,1.3622799568819393,mlp,0.24999999375822363,0.4999999937569273,0.5043450766688397,0.44090705309628436,0.3765517241379311,0.29349003008485763,0.32987250764375636,0.5483331351391302,0.3979310344827586,0.6169367031435997,0.48380345810677405,0.44090705309628436,0.3765517241379311,0.29349003008485763,0.32987250764375636,22.03770422935486
7,2025-07-26 22:35:15,256,0.12139223039855866,4,0.2627286558637265,15,16,8,0.009119012040485416,0.0073819553589401146,0.0073079208263191545,0.0061784481934401905,6.235128270509155e-06,0.0005966679581703184,0.41585162779293283,1.4101419131239226,mlp,0.23314531131322883,0.4350746958764297,0.6743457301074346,0.6352077808653748,0.5227586206896553,0.4520578415837037,0.4848443638038837,0.690073878344514,0.4468965517241379,0.7097638281258971,0.5484600542280388,0.6352077808653748,0.5227586206896553,0.4520578415837037,0.4848443638038837,18.04559826850891
8,2025-07-26 22:36:34,64,0.06580125877464252,8,0.5619808571432732,5,4,16,0.005343186630503383,0.006515647895008917,0.006784188613929236,0.007767264667295759,3.2244150529543685e-06,0.0647596331892403,5.905540629078408e-07,8.339395290981788,logistic_regression,0.24515425549537337,0.42396708690553325,0.6666077025330992,0.6355864877079658,0.5062068965517241,0.4358842163583543,0.4684209274346554,0.7072842369485557,0.45034482758620686,0.7196395271395271,0.5540004658435651,0.6355864877079658,0.5062068965517241,0.4358842163583543,0.4684209274346554,79.40717887878418
9,2025-07-26 22:37:05,64,0.029172501449807604,8,0.01573423986860816,15,4,16,0.00827954385021946,0.006140921069539446,0.006376238542358906,0.006532543465624543,0.001243809582009582,0.00011285576078417267,0.0019562592498300253,3.876758133469677,mlp,0.2491808326320018,0.49917291910227,0.7050975556756748,0.6348424716731782,0.5137931034482759,0.4241225106311313,0.464671272571424,0.7048986257766614,0.45482758620689645,0.7112854195612817,0.5548557110382341,0.6348424716731782,0.5137931034482759,0.4241225106311313,0.464671272571424,30.46790862083435
