trial_number,timestamp,objective_value,epochs,prop_epochs,lr,prop_lr,batch_size,embedding_k,gamma,G,verbose,test_ratio,unbiased_test_ratio,seed,save_results,beta,bmse_weight,ece_weight,n_bins,ECE,BMSE,DR_Bias,DR_Variance,MSE,MAE
0,2025-07-28 18:02:33,,150,100,0.005,0.005,128,4,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.18434181809425354,0.7630822062492371,0.0025543724186718464,6.994646810198901e-06,0.03383766859769821,0.13323061168193817
1,2025-07-28 18:06:35,,150,100,0.1,0.01,64,32,0.2,10,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.2623368799686432,19363366912.0,10342.0244140625,267623.59375,0.2307436615228653,0.3803696036338806
2,2025-07-28 18:11:19,,150,100,0.01,0.001,64,8,0.01,6,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.2383127063512802,9.986715316772461,0.1121731773018837,0.0006640829378738999,0.10412488877773285,0.2344609946012497
3,2025-07-28 18:15:30,,150,100,0.005,0.01,128,16,0.2,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.18580262362957,0.8538300395011902,0.002563279354944825,3.3791617170209065e-05,0.15016017854213715,0.2968277633190155
4,2025-07-28 18:16:40,,150,100,0.1,0.005,256,16,0.1,4,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.26484254002571106,11844115456.0,254.77203369140625,145497.96875,0.11851074546575546,0.2594381272792816
5,2025-07-28 18:33:20,,150,100,0.001,0.001,64,32,0.05,10,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.20240771770477295,1.5431301593780518,0.025573261082172394,5.9532103477977216e-05,0.15489664673805237,0.30437564849853516
6,2025-07-28 18:35:24,,150,100,0.05,0.001,128,4,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.21638980507850647,3.816248893737793,0.02249646931886673,4.785728015122004e-05,0.03394787386059761,0.13554690778255463
7,2025-07-28 18:51:29,,150,100,0.001,0.001,64,32,0.01,10,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.20274409651756287,1.6227684020996094,0.029129154980182648,6.330974429147318e-05,0.15577112138271332,0.3052971661090851
8,2025-07-28 18:56:07,,150,100,0.01,0.1,64,16,0.05,4,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.26175379753112793,12639220736.0,1570.0074462890625,186743.546875,0.14931310713291168,0.29600393772125244
9,2025-07-28 18:57:32,,150,100,0.05,0.001,256,8,0.05,8,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.20792677998542786,2.212580919265747,0.0019972852896898985,3.997706153313629e-05,0.06587589532136917,0.18765778839588165
