trial_number,timestamp,objective_value,epochs,prop_epochs,lr,prop_lr,batch_size,embedding_k,gamma,G,verbose,test_ratio,unbiased_test_ratio,seed,save_results,beta,bmse_weight,ece_weight,n_bins,ECE,BMSE,DR_Bias,DR_Variance,MSE,MAE
0,2025-07-28 19:14:07,,150,100,0.005,0.005,128,4,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.2011721432209015,1.2219778299331665,0.002361274091526866,1.1588726010813843e-05,0.029631853103637695,0.12669818103313446
1,2025-07-28 19:16:42,,150,100,0.1,0.01,64,32,0.2,10,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.19709330797195435,2.6870906352996826,0.08990133553743362,0.00012419595441315323,0.2590758502483368,0.4140588641166687
2,2025-07-28 19:19:59,,150,100,0.01,0.001,64,8,0.01,6,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.19821645319461823,1.0909785032272339,0.0030671029817312956,2.6511430405662395e-05,0.07065756618976593,0.19194094836711884
3,2025-07-28 19:23:16,,150,100,0.005,0.01,128,16,0.2,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.19580835103988647,1.2648371458053589,0.009762427769601345,4.754294786835089e-05,0.13770847022533417,0.28213217854499817
4,2025-07-28 19:24:11,,150,100,0.1,0.005,256,16,0.1,4,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.18345221877098083,0.7766733765602112,0.011809752322733402,1.7109974578488618e-05,0.08964365720748901,0.2222604751586914
5,2025-07-28 19:34:43,,150,100,0.001,0.001,64,32,0.05,10,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.20042024552822113,1.6427793502807617,0.036664362996816635,6.367288006003946e-05,0.15616609156131744,0.30184406042099
6,2025-07-28 19:36:05,,150,100,0.05,0.001,128,4,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.19612471759319305,1.0569881200790405,0.0009554553544148803,8.986927241494413e-06,0.031109921634197235,0.1307080090045929
7,2025-07-28 19:47:45,,150,100,0.001,0.001,64,32,0.01,10,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.19705131649971008,1.413711667060852,0.02932705543935299,5.655169297824614e-05,0.15370076894760132,0.2984130084514618
8,2025-07-28 19:52:12,,150,100,0.01,0.1,64,16,0.05,4,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.24961766600608826,11284829184.0,1450.81591796875,178710.0,0.1461019665002823,0.2919105589389801
9,2025-07-28 19:53:05,,150,100,0.05,0.001,256,8,0.05,8,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.1953614354133606,1.0098048448562622,0.0009927646024152637,1.011581116472371e-05,0.03457290679216385,0.13691610097885132
10,2025-07-28 19:54:24,,150,100,0.05,0.05,128,4,0.1,1,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.17860399186611176,0.8359391689300537,0.01199518982321024,5.999767381581478e-06,0.03383665904402733,0.1358712762594223
11,2025-07-28 19:55:39,,150,100,0.05,0.05,128,4,0.1,1,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.19641831517219543,1.8746730089187622,0.005093386396765709,1.9944976884289645e-05,0.033813413232564926,0.13570939004421234
12,2025-07-28 19:57:02,,150,100,0.05,0.05,128,4,0.1,1,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.2103445827960968,2.5215506553649902,0.0028537579346448183,1.9184211851097643e-05,0.033115122467279434,0.13441090285778046
13,2025-07-28 19:58:11,,150,100,0.05,0.05,128,4,0.1,1,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.20547309517860413,2.384239435195923,0.00873069278895855,2.832678183040116e-05,0.03759070485830307,0.14333795011043549
14,2025-07-28 19:59:32,,150,100,0.05,0.1,128,4,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.21070647239685059,6.06339693069458,0.004498023074120283,4.6667300921399146e-05,0.03097532130777836,0.13107594847679138
15,2025-07-28 20:00:49,,150,100,0.05,0.05,128,4,0.1,8,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.1871420294046402,1.0699307918548584,0.01152882818132639,5.928076916461578e-06,0.027179311960935593,0.1249079778790474
16,2025-07-28 20:02:11,,150,100,0.05,0.05,128,4,0.1,8,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.20541968941688538,1.9772138595581055,0.013269499875605106,1.4540735719492659e-05,0.027716875076293945,0.1259578913450241
17,2025-07-28 20:02:49,,150,100,0.05,0.05,256,4,0.01,8,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.19182215631008148,0.9685640931129456,0.0059358817525208,7.255830951180542e-06,0.026260104030370712,0.1199263259768486
18,2025-07-28 20:05:27,,150,100,0.001,0.05,128,8,0.2,6,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.19699081778526306,2.4504427909851074,0.009287013672292233,2.1924704924458638e-05,0.03881530463695526,0.14588198065757751
19,2025-07-28 20:07:13,,150,100,0.01,0.05,128,4,0.1,1,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.20598697662353516,1.7683861255645752,0.0034912920091301203,1.7487251170678064e-05,0.03142085671424866,0.12834013998508453
20,2025-07-28 20:07:53,,150,100,0.1,0.05,256,4,0.1,8,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.19898144900798798,1.4486384391784668,0.016831764951348305,1.609207538422197e-05,0.03989512845873833,0.15080907940864563
21,2025-07-28 20:08:35,,150,100,0.05,0.05,256,4,0.01,8,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.20628958940505981,1.7606351375579834,0.004461557138711214,1.1425364391470794e-05,0.027140388265252113,0.12158887088298798
22,2025-07-28 20:09:12,,150,100,0.05,0.05,256,4,0.01,8,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.19649246335029602,1.2258108854293823,0.0008819338399916887,1.2809695363102946e-05,0.029462579637765884,0.12571822106838226
23,2025-07-28 20:09:51,,150,100,0.05,0.05,256,4,0.01,8,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.2011459916830063,1.447144627571106,0.002595009282231331,1.0608274351397995e-05,0.02734624780714512,0.12196306139230728
24,2025-07-28 20:10:36,,150,100,0.05,0.005,256,4,0.01,8,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.1987219899892807,1.1123312711715698,0.000981173012405634,9.015367140818853e-06,0.026880847290158272,0.12089823931455612
25,2025-07-28 20:12:56,,150,100,0.005,0.1,128,4,0.01,1,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.20519761741161346,2.5236573219299316,0.010990329086780548,2.9988395908731036e-05,0.040856439620256424,0.14421913027763367
26,2025-07-28 20:13:42,,150,100,0.05,0.01,256,16,0.05,8,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.1979270875453949,1.1847419738769531,0.0028325978200882673,1.6380932720494457e-05,0.05291955545544624,0.16916638612747192
27,2025-07-28 20:15:00,,150,100,0.05,0.05,128,32,0.2,4,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.2606505751609802,13408382976.0,4264.279296875,139783.15625,0.11833564192056656,0.2595558166503906
28,2025-07-28 20:16:08,,150,100,0.05,0.05,128,8,0.1,6,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.21126322448253632,2.4995768070220947,0.02406596951186657,2.6456793420948088e-05,0.0360611230134964,0.14138875901699066
